thisRow.t,notes,folder,feature,morph_level,response_key,rt,participant,session,date,expName,psychopyVersion,frameRate,
,,app,9,9,left,2.8186437000003934,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,1.2853779999995822,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,1.973812799999905,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,right,1.1763746000005995,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.7648932000001878,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.6061448000000382,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,1.08081619999939,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,right,0.867008000000169,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,right,2.959451199999421,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.8399008000005779,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,1.4624880000001212,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,0.7810116000000562,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,0.8058055999999851,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.2469664999998713,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.2243960000005245,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,1.308253600000171,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.17076820000056614,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.79176439999992,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.6887704999999187,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,1.1873521999996228,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.8152749000000767,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,1.0885274999991452,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,left,0.7087697999995726,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.6004445999997188,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,1.3151843000005101,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.9347815000000992,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.5958989999999176,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,0.6667681999997512,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.5418342000002667,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.7064101999994818,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.8893846999999369,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,left,0.46461600000020553,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,0.7787396000003355,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.5815923000000112,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.6239495999998326,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,left,0.8072554999998829,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,left,1.546880500000043,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.6970023000003494,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.5489137000004121,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.4675345000005109,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.444727399999465,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.6142354000003252,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,0.5848900999999387,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,0.5103509000000486,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.6355023999994955,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.24916159999975207,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.4424951000000874,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,0.03587429999970482,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.594108100000085,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,0.41718670000045677,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,0.5883279999998194,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,0.5498921999997037,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,right,2.9719531000000643,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,left,0.6266107999999804,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,1.392487500000243,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,left,0.8266299999995681,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.6732448000002478,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,left,0.6373886000001221,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.5681806000002325,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,left,0.7754161000002568,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.47369089999938296,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.4729511999994429,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.45228040000074543,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,left,0.6489867000000231,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,0.5943007999994734,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,right,1.0450581999994029,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.6963825000002544,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.4792976999997336,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.4726098000001002,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,right,1.096088299999792,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,left,0.616909599999417,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.5151803999997355,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.5363517999994656,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.832972900000641,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,right,1.1840750000001208,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,left,0.8328931999994893,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,right,0.6411354000001666,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.446876500000144,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,99,right,0.5008300999998028,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,left,2.037968799999362,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,left,0.8506735999999364,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,9,left,0.841813899999579,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.6352063999993334,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.48174139999991894,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.4540852000000086,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.6444848999999522,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,39,right,0.4952978000001167,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,79,right,0.37764549999974406,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.5803113000001758,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.578130500000043,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,49,right,0.4615193999998155,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.4972717000000557,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,69,right,0.760130499999832,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.6912979999997333,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,0.09457320000001346,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,19,left,0.09610810000049241,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.577954000000318,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,89,right,0.6122040999998717,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,59,right,0.4479217999996763,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,9,29,left,0.3759349000001748,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,59,left,4.8480255000004036,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,79,right,1.5749736999996458,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,69,right,0.6950479999995878,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,39,left,1.502292000000125,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,19,left,2.433920099999341,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,9,left,1.0608185000000958,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,89,right,0.5005455999998958,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,19,left,0.32855990000007296,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,49,right,0.57429620000039,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,99,right,0.619126900000083,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,39,left,0.8396841000003405,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
,,app,19,39,left,0.7875781000002462,farzaneh,001,2025-04-19_08h45.15.478,task1,2021.2.3,60.07676609182293,
