thisRow.t,notes,folder,feature,morph_level,response_key,rt,participant,session,date,expName,psychopyVersion,frameRate,
,,app,9,19,left,1.4536137000000053,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,49,right,0.6827885000002425,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,0.7237213000003067,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,9,left,0.4869237000002613,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.45066289999977016,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.8529475000000275,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,69,right,0.09993609999992259,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,69,right,0.16754059999993842,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,79,right,1.5948256000001493,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,99,right,0.5281840000002376,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,79,right,0.49673359999997047,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,69,right,0.4162183999997069,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,49,right,2.4415750999996817,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,19,left,0.14145659999985583,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,0.12597120000009454,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,49,left,1.6182095999997728,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.32386270000006334,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,19,left,0.1615831999997681,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,69,right,0.07941800000025978,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,0.6021385000003647,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,0.34599329999991824,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,49,right,1.9439511999999013,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,69,right,0.3949164999999084,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,79,right,0.08011479999959192,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,1.4033973999999034,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,49,left,0.4795205000000351,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,0.29588349999994534,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.30005709999977626,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.29844490000004953,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.298786199999995,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,79,right,0.2571832000003269,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,99,right,0.4778670000000602,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.2459248000000116,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,9,left,0.22861379999994824,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,0.2594026000001577,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,69,right,0.24009339999975055,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.09252460000016072,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,99,right,0.1985672999999224,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,79,right,0.30752750000010565,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,19,left,0.24633989999983896,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,49,right,0.6266265999997813,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.5838549000000057,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.23821360000010827,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,79,right,0.3341065999998136,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.2552808999998888,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.22021470000026966,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.06059959999993225,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,99,right,0.2541329999999107,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.24214789999996356,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,9,left,0.25049300000000585,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.3012397000002238,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,79,right,0.20460599999978513,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,9,left,0.19242399999984627,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,49,left,0.2287003999999797,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.27774170000020604,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.24224360000016532,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,19,left,0.15354729999990013,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.22624649999988833,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,19,left,0.11569190000000162,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.2734037999998691,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.9101187000001119,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,9,left,0.2592162000000826,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,19,left,0.10714540000026318,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,69,right,0.26875029999973776,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.6281357999996544,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.2388994999996612,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,99,right,0.2601248000000851,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.2311677999996391,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,29,left,0.194403400000283,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,99,right,0.20231250000006185,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,89,right,0.2730329000000893,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,39,left,0.7560686000001624,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
,,app,9,59,right,0.43620789999977205,pr11,001,2025-04-19_08h02.08.565,task1,2021.2.3,60.02094731055167,
