thisRow.t,notes,folder,feature,morph_level,response_key,rt,participant,session,date,expName,psychopyVersion,frameRate,
,,app,9,49,right,6.531426599999577,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,59,right,2.353703800000403,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,29,left,1.9803875999996308,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,29,left,2.3742886,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,39,left,1.9530330999996295,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,79,right,0.8550513000000137,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,29,right,1.8061495000001742,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,99,right,1.250867300000209,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,69,right,1.227936100000079,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,49,right,1.3109192000001713,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,49,right,1.5109910000001037,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,79,right,1.2967501000002812,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,59,right,1.2492615000001024,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,59,right,1.5392869999996037,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,69,right,1.3392943999997442,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,39,right,1.6427195999995092,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,99,right,1.2453254000001834,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,69,right,1.562479500000336,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
,,app,9,9,left,0.666527600000336,Mohammad,001,2025-04-19_08h22.56.355,task1,2021.2.3,60.10399192670159,
